User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1002153,P0095242,M,18-25,16,B,3,0,4,5.0,,1457
1003484,P00100442,M,18-25,4,C,1,0,2,4.0,5.0,9964
1003193,P00101842,M,26-35,0,C,4+,1,6,16.0,,20668
1002452,P00312742,M,46-50,7,B,0,0,15,,,12835
1005050,P00059442,F,18-25,4,C,1,0,6,8.0,16.0,20138
1001120,P00274142,M,18-25,4,A,0,1,1,,,15629
1005302,P00282142,F,0-17,10,A,1,0,3,4.0,,8183
1004227,P00315942,M,26-35,19,A,0,0,1,2.0,,3931
1003518,P00162642,F,18-25,7,A,2,0,5,8.0,,5409
1001561,P00148642,F,18-25,4,C,2,0,6,10.0,13.0,12323
1001377,P00103042,M,36-45,16,B,3,1,1,14.0,,11680
1004879,P00183042,M,26-35,3,A,2,0,15,16.0,,8925
1004012,P00025442,M,18-25,4,C,0,0,1,2.0,9.0,19373
1002219,P00213242,M,26-35,6,C,3,0,5,8.0,,7170
1001069,P00003442,M,26-35,20,A,4+,0,4,5.0,8.0,3479
1005014,P00059442,M,46-50,0,C,0,1,6,8.0,16.0,20670
1004718,P00205442,M,36-45,7,C,1,1,5,8.0,14.0,7032
1005222,P00299142,M,26-35,12,B,1,0,5,,,3728
1003401,P00288342,M,36-45,7,B,1,0,8,,,7847
1003365,P00257542,M,51-55,17,C,3,1,5,,,8766
1004215,P00148342,M,26-35,7,A,2,0,5,,,5391
1001227,P00354142,M,51-55,1,B,2,0,6,8.0,,16036
1005483,P00289242,F,26-35,6,B,3,0,1,8.0,,11407
1000536,P00183942,M,26-35,20,C,1,0,3,4.0,,11027
1000284,P00063242,M,26-35,12,B,3,1,13,,,392
1001748,P00258442,M,51-55,1,A,1,1,5,,,8579
1004407,P00159842,M,18-25,4,A,1,0,1,16.0,,11518
1001164,P00084442,F,26-35,19,A,1,1,13,16.0,,749
1005106,P00289942,F,36-45,1,C,3,1,3,4.0,5.0,13692
1000964,P00102242,M,26-35,7,B,1,1,8,12.0,,5867
1003688,P00294442,M,18-25,6,B,1,0,3,4.0,12.0,10620
1000822,P00326842,F,26-35,1,B,0,1,5,8.0,,5280
1004007,P00123742,M,36-45,12,A,1,1,11,,,3153
1005046,P00101742,M,26-35,16,A,0,0,12,14.0,,745
1004524,P00073842,M,26-35,2,A,2,1,1,15.0,17.0,15343
1002849,P00087642,M,46-50,11,A,3,0,5,14.0,,6940
1003070,P00265242,F,18-25,4,C,4+,0,5,8.0,,7159
1002075,P00224142,F,26-35,4,A,1,0,8,,,8135
1005220,P00000642,M,26-35,7,B,4+,0,1,6.0,16.0,11949
1001354,P00007342,F,26-35,2,B,3,0,8,14.0,,4215
1001582,P00044442,M,18-25,0,C,1,0,1,16.0,,7636
1000770,P00016842,M,18-25,4,B,2,1,1,2.0,15.0,19092
1000624,P00209742,M,26-35,1,B,3,0,1,11.0,15.0,15450
1003280,P00221442,M,26-35,7,B,1,0,1,2.0,5.0,11874
1002778,P00059442,M,55+,13,B,3,0,6,8.0,16.0,20552
1002872,P00317842,M,26-35,20,B,1,0,8,,,7905
1000919,P00239342,F,36-45,1,C,1,0,8,,,9890
1000465,P00225142,M,18-25,19,C,2,0,8,14.0,,5991
1002968,P00171342,F,18-25,0,A,2,0,13,16.0,,563
1000333,P00210942,M,36-45,2,A,0,1,5,12.0,,6973
1003536,P00213742,M,18-25,4,C,0,0,8,,,9702
1003081,P00221842,M,26-35,7,B,1,1,1,8.0,,11719
1004917,P00304042,M,46-50,0,C,0,1,5,,,8840
1004044,P00134842,F,36-45,3,B,1,0,5,,,5406
1001842,P00260242,M,18-25,4,B,1,0,5,16.0,,3618
1000196,P00274542,F,36-45,9,C,4+,0,6,16.0,,16370
1003094,P00269542,M,36-45,0,A,1,0,11,15.0,,4509
1004048,P00318142,F,36-45,1,B,1,0,2,,,12980
1001595,P00114842,M,36-45,1,C,3,0,5,,,6907
1003635,P00036842,M,51-55,1,C,1,0,1,14.0,16.0,15344
1003635,P00088342,M,51-55,1,C,1,0,8,14.0,,6168
1000698,P00355142,M,18-25,4,A,1,0,1,15.0,,4072
1003263,P00274142,M,51-55,11,A,4+,0,1,,,19443
1001733,P00210742,M,18-25,14,B,0,1,16,,,8415
1004728,P00126042,M,26-35,19,B,3,0,8,14.0,,5833
1002791,P00051442,M,55+,7,A,1,1,8,17.0,,9786
1004522,P00121342,M,46-50,1,C,0,1,1,5.0,18.0,15841
1000035,P00327642,M,46-50,1,C,4+,1,18,,,2308
1003626,P00296442,M,26-35,17,B,3,0,5,8.0,,5157
1001592,P00270942,M,36-45,7,B,4+,1,1,2.0,15.0,15350
1005996,P00316742,F,26-35,0,B,1,1,4,5.0,,2737
1004014,P00220142,M,26-35,0,C,2,1,1,15.0,,7709
1005418,P00085442,F,26-35,0,C,1,1,12,14.0,,1386
1003280,P00286642,M,26-35,7,B,1,0,11,14.0,,4560
1004132,P00085342,M,26-35,17,C,2,0,10,13.0,,23111
1001632,P00177942,M,26-35,16,B,1,0,5,8.0,,2034
1005091,P00114942,M,26-35,17,B,1,1,1,15.0,16.0,19458
1001260,P00117542,M,26-35,17,B,0,0,18,,,3849
1003430,P00214442,F,46-50,1,B,1,1,8,,,7852
1001741,P00305442,M,36-45,7,A,4+,1,8,,,7943
1005978,P00193542,M,36-45,1,B,2,0,1,2.0,,11722
1003890,P00375436,M,18-25,4,C,3,0,20,,,236
1000271,P00058042,M,18-25,4,C,1,0,8,16.0,,7879
1001244,P00289342,M,26-35,4,A,4+,1,5,8.0,14.0,5397
1004579,P00201942,F,18-25,4,B,1,1,8,,,3895
1003044,P00180342,M,36-45,16,C,1,1,11,,,7478
1001264,P00205942,M,26-35,1,A,3,0,5,8.0,14.0,7162
1003864,P00109842,M,51-55,20,C,0,1,8,,,7937
1002444,P0095342,F,46-50,4,B,1,1,2,4.0,,13311
1004899,P00127842,M,26-35,12,B,1,1,1,2.0,15.0,11897
1004733,P00196342,M,18-25,18,C,1,0,2,9.0,14.0,10141
1005000,P0096442,M,26-35,4,B,4+,0,4,5.0,12.0,3479
1003930,P00120342,M,55+,3,C,0,1,5,17.0,,8868
1004937,P00158342,M,36-45,0,C,1,1,8,,,9961
1004089,P0097142,M,26-35,7,A,1,0,12,,,1066
1004034,P00051442,M,26-35,0,C,1,1,8,17.0,,9770
1005937,P00140742,M,26-35,12,B,2,1,1,15.0,,15549
1003967,P00086042,F,18-25,2,A,1,0,8,14.0,17.0,2233
1001139,P00165742,M,26-35,1,C,2,0,8,16.0,,7829
1004821,P00017042,M,18-25,19,C,1,0,8,,,9707
1002299,P00146742,F,18-25,10,B,4+,0,1,13.0,14.0,8009
1004028,P00169642,M,26-35,4,A,2,0,5,,,8738
1000192,P00053942,M,18-25,1,B,2,0,1,2.0,5.0,8013
1002271,P00048742,M,51-55,14,A,1,0,5,,,7192
1001675,P00115142,F,26-35,6,B,1,1,1,8.0,17.0,19030
1002796,P00150842,M,26-35,14,B,3,0,11,13.0,16.0,2974
1002885,P00074342,F,18-25,1,A,2,0,5,,,8575
1002878,P00244142,F,51-55,20,A,2,1,1,2.0,15.0,11788
1002231,P00120342,M,51-55,11,B,1,1,5,17.0,,5402
1003513,P00103042,M,26-35,16,C,1,0,1,14.0,,15281
1001977,P00119342,M,55+,6,C,2,1,10,13.0,,19011
1003402,P00118542,M,36-45,20,B,4+,0,5,8.0,,6878
1000201,P00110842,F,36-45,2,A,1,0,1,2.0,5.0,15287
1003673,P00007142,M,26-35,2,B,1,0,5,8.0,,5147
1001060,P00073842,M,18-25,10,C,1,0,1,15.0,17.0,15711
1002085,P00138842,M,18-25,0,C,4+,0,5,,,5291
1001261,P00074342,M,18-25,4,C,2,0,5,,,6968
1001266,P00190142,M,26-35,4,B,0,1,3,4.0,5.0,13230
1001120,P00183342,M,18-25,4,A,0,1,5,15.0,18.0,7146
1000529,P00323742,M,36-45,12,C,1,0,8,,,9936
1002127,P00249142,M,18-25,4,C,0,1,5,,,6910
1005747,P00212042,M,26-35,0,B,4+,1,13,15.0,,770
1000242,P00293342,F,18-25,4,A,3,0,8,,,6079
1003648,P00258742,M,18-25,4,B,1,0,5,,,6934
1001958,P0095642,F,26-35,1,B,3,0,5,,,5291
1004484,P00084242,F,26-35,17,C,1,0,8,14.0,,9975
1001214,P00100442,M,55+,13,C,1,1,2,4.0,5.0,10058
1003007,P00305042,M,36-45,0,C,1,1,11,13.0,16.0,1504
1004425,P00260042,M,36-45,7,B,1,0,5,8.0,,8581
1004733,P00015542,M,18-25,18,C,1,0,1,2.0,13.0,7914
1005990,P00265442,F,26-35,20,B,1,1,5,,,3584
1004801,P00111242,M,26-35,4,C,3,0,1,18.0,,19136
1001491,P00117442,M,18-25,4,B,1,0,5,14.0,,6951
1000889,P00118142,M,46-50,20,A,1,0,8,17.0,,6154
1002185,P00100842,M,46-50,17,C,2,1,5,,,6977
1001430,P00006242,M,18-25,4,B,2,1,5,,,5463
1003102,P00338442,M,26-35,12,C,3,1,1,16.0,,15226
1002796,P00199442,M,26-35,14,B,3,0,5,9.0,,3743
1003127,P00086342,F,26-35,0,B,2,1,8,,,9967
1006026,P00052842,M,36-45,6,C,1,1,10,15.0,,23477
1005026,P00182242,M,26-35,17,B,1,1,1,5.0,6.0,12122
1003416,P00186642,M,26-35,12,B,4+,1,2,4.0,15.0,9733
1000022,P00195942,M,18-25,15,A,4+,0,3,4.0,,10681
1001242,P00106742,F,36-45,0,A,0,1,3,5.0,,13191
1005136,P00140742,M,26-35,12,B,1,0,1,15.0,,15590
1005535,P00329542,M,26-35,15,B,1,1,1,15.0,16.0,15891
1005138,P00194442,M,26-35,17,B,0,0,5,,,3554
1005019,P00182742,M,26-35,7,A,4+,0,1,2.0,14.0,3810
1003719,P00238542,M,26-35,1,C,3,1,5,14.0,,6971
1001448,P00277642,F,26-35,3,A,1,0,2,3.0,10.0,12856
1005981,P00077942,M,36-45,7,C,3,0,5,,,3429
1005894,P00142942,M,36-45,0,C,1,0,1,2.0,16.0,15194
1004577,P00220642,M,36-45,7,C,0,1,8,,,7907
1005937,P00100842,M,26-35,12,B,2,1,5,,,7028
1005508,P00250842,M,26-35,20,C,1,0,8,,,5847
1001647,P00155442,M,18-25,18,B,0,0,1,11.0,15.0,7769
1003989,P00150542,M,51-55,12,A,0,1,5,,,8768
1004904,P00110042,M,51-55,15,B,1,1,5,14.0,,8647
1000524,P00149342,M,18-25,0,A,0,0,13,16.0,,955
1005682,P00132942,M,18-25,0,B,2,0,1,,,7858
1005113,P00214142,M,26-35,0,A,3,1,8,,,6049
1004794,P00028542,F,36-45,0,C,0,0,6,8.0,14.0,4491
1000721,P00151142,F,36-45,9,B,1,0,6,16.0,,12243
1002595,P00000142,M,18-25,4,B,1,0,3,4.0,5.0,10861
1001410,P00368042,M,51-55,7,B,3,1,2,15.0,,16493
1003189,P00192742,M,26-35,16,A,1,0,11,16.0,,4598
1000746,P00197942,F,18-25,19,B,3,0,6,11.0,,4363
1004579,P00062742,F,18-25,4,B,1,1,8,17.0,,7989
1001653,P00216342,M,18-25,0,A,4+,0,3,4.0,5.0,8295
1000146,P0095842,F,36-45,20,B,3,1,3,4.0,12.0,11019
1006030,P00225842,M,26-35,17,C,1,1,2,4.0,15.0,9884
1002737,P00031342,M,26-35,3,B,3,0,8,,,7916
1000780,P00163542,M,26-35,17,B,3,0,2,4.0,5.0,12915
1000746,P00313342,F,18-25,19,B,3,0,5,,,5211
1003773,P00126242,M,36-45,6,B,1,0,2,4.0,5.0,6393
1001579,P00039642,M,26-35,0,A,0,0,8,,,5987
1002073,P00350942,F,18-25,4,B,4+,0,3,4.0,5.0,10777
1001667,P00090042,M,51-55,16,B,4+,0,6,8.0,,12086
1002785,P00327242,M,55+,13,C,1,1,5,8.0,,7136
1002842,P00054242,M,36-45,17,C,4+,0,1,6.0,14.0,11401
1005555,P00146042,M,0-17,10,B,2,0,1,13.0,15.0,12113
1006000,P00187442,M,46-50,17,B,2,1,2,4.0,5.0,6980
1003777,P00087042,M,18-25,4,B,0,0,10,14.0,16.0,23608
1002747,P00116842,F,18-25,4,B,2,0,2,5.0,8.0,16192
1005324,P00187842,M,26-35,7,C,0,1,1,16.0,,11714
1001897,P00322542,F,51-55,2,A,1,1,8,,,7929
1001988,P00253942,F,26-35,1,B,2,0,8,,,5848
1005576,P0096442,M,26-35,4,C,3,0,4,5.0,12.0,3499
1003681,P00259342,M,26-35,7,B,3,0,5,9.0,,7184
1002684,P00249642,F,18-25,0,C,3,1,3,5.0,,10629
1000882,P00350442,M,18-25,2,C,4+,0,2,3.0,15.0,15906
1003618,P00015842,M,55+,17,A,4+,1,1,14.0,16.0,8242
1001714,P00120442,M,26-35,17,C,0,1,8,,,7954
1001978,P00187442,M,0-17,10,C,4+,0,2,4.0,5.0,12901
1004633,P00015342,M,0-17,0,B,1,0,2,4.0,,16423
1000109,P00169742,M,46-50,15,C,1,1,1,8.0,15.0,11911
1002185,P00114042,M,46-50,17,C,2,1,5,14.0,,8745
1003454,P00220442,M,18-25,0,A,1,1,5,14.0,,7028
1005824,P00046742,M,18-25,12,B,1,0,1,2.0,15.0,11731
1002857,P00226542,M,26-35,0,B,2,0,1,5.0,,11613
1000623,P00015742,M,26-35,17,C,3,1,7,,,16811
1001548,P00317942,M,36-45,1,A,3,0,8,16.0,,5881
1003579,P00147642,M,18-25,0,C,2,0,1,2.0,,12067
1001605,P00184342,F,18-25,0,B,1,0,8,,,6017
1003051,P00156142,M,18-25,17,B,0,0,5,8.0,,3618
1001715,P00034742,M,26-35,16,C,2,1,5,14.0,17.0,5181
1004897,P00193542,M,36-45,16,B,3,0,1,2.0,,15815
1000518,P00103342,F,36-45,12,C,4+,0,8,,,9859
1004813,P00319842,F,36-45,9,C,3,1,3,5.0,,13229
1001113,P00037142,M,18-25,4,B,3,0,1,2.0,5.0,18956
1000777,P00260142,M,18-25,19,B,1,0,5,14.0,,5167
1004942,P00288042,M,46-50,12,B,3,1,8,,,7956
1000045,P00360842,F,46-50,16,A,1,1,5,,,7193
1001966,P00129642,M,26-35,20,C,2,0,5,,,8877
1003471,P00327242,M,18-25,4,A,1,0,5,8.0,,5147
1003619,P00090842,M,51-55,16,B,3,1,11,15.0,,4478
1000631,P00270942,M,36-45,17,C,3,1,1,2.0,15.0,12052
1000424,P00123842,M,26-35,17,A,3,0,11,15.0,,6090
1004250,P00182142,F,51-55,0,C,4+,1,1,5.0,6.0,19517
1002752,P00210042,M,26-35,15,A,2,0,8,14.0,,4086
1001647,P00346342,M,18-25,18,B,0,0,1,15.0,,15400
1004271,P00324642,M,36-45,7,B,2,0,8,,,4106
1004786,P00102442,M,46-50,6,B,1,1,8,,,10003
1001764,P00149542,M,18-25,0,B,1,0,1,6.0,13.0,7617
1005488,P00237542,M,26-35,15,C,1,0,1,15.0,16.0,19370
1001726,P00157542,M,26-35,2,B,1,1,8,14.0,,2070
1003760,P00334242,M,51-55,0,B,0,1,1,8.0,,19206
1002665,P00365242,M,36-45,11,B,1,0,5,8.0,,5192
1000550,P00252042,M,46-50,8,B,1,1,5,14.0,,5401
1003213,P00101842,F,26-35,1,C,3,0,6,16.0,,4464
1004058,P00313042,M,26-35,6,B,3,1,5,14.0,,3595
1005982,P00220442,M,36-45,1,B,4+,0,5,14.0,,8722
1004022,P00260042,M,36-45,14,B,1,1,5,8.0,,6978
1002144,P00222842,M,18-25,0,C,1,1,8,,,7901
1004964,P00129342,M,36-45,0,A,1,1,1,5.0,15.0,15560
1003390,P00286442,F,46-50,20,C,1,1,8,,,8083
1003017,P00080042,F,36-45,9,B,1,0,5,14.0,,6877
1005076,P00015842,M,26-35,3,B,4+,0,1,14.0,16.0,11786
1002340,P00322042,M,36-45,2,A,2,0,5,8.0,,8662
1005107,P00146042,F,46-50,0,B,0,0,1,13.0,15.0,4515
1002223,P00210042,M,26-35,2,B,0,1,8,14.0,,7856
1003291,P00079442,F,26-35,7,B,4+,0,8,,,7951
1005605,P00236542,F,18-25,2,A,0,0,8,11.0,,7809
1002015,P00063342,M,18-25,4,B,4+,0,1,2.0,9.0,12087
1003778,P00026142,M,26-35,0,B,4+,1,5,,,3762
1005519,P00193542,M,36-45,15,C,3,0,1,2.0,,7711
1005234,P00265742,F,26-35,0,A,4+,1,5,12.0,,5278
1002125,P00154042,M,36-45,3,C,0,0,1,2.0,15.0,11518
1001465,P00195542,M,51-55,16,B,4+,1,2,12.0,,13135
1002258,P00134342,F,18-25,4,B,4+,0,5,,,7057
1002523,P00004742,M,26-35,17,B,0,0,6,16.0,,19922
1002777,P00247042,M,18-25,4,B,2,0,5,14.0,,8786
1005100,P00195242,M,51-55,6,B,1,1,8,,,10025
1004083,P00086442,M,55+,14,A,0,0,8,13.0,15.0,4250
1001587,P00001542,F,26-35,3,B,3,0,1,2.0,14.0,11761
1002097,P00179742,M,18-25,5,C,0,0,11,,,3172
1002529,P00236942,F,36-45,9,A,3,0,12,,,1775
1001053,P00248942,M,36-45,0,C,2,1,1,6.0,14.0,11990
1000384,P00111842,M,26-35,11,B,3,1,8,,,7874
1005061,P00148342,F,18-25,19,C,2,1,5,,,8568
1002511,P00205942,M,26-35,7,C,2,0,5,8.0,14.0,6917
1003509,P00155142,M,18-25,4,A,0,0,1,16.0,,15273
1003539,P00155442,F,26-35,4,A,1,1,1,11.0,15.0,15613
1004802,P00192942,M,55+,1,B,3,1,5,,,8663
1000284,P00192742,M,26-35,12,B,3,1,11,16.0,,1726
1005953,P00255842,M,0-17,10,B,0,0,16,,,20792
1000802,P00118342,M,26-35,16,B,1,0,2,3.0,15.0,13225
1000411,P00368142,F,46-50,1,B,0,1,2,15.0,,13177
1005571,P0094542,F,26-35,9,C,2,0,2,4.0,9.0,13113
1001390,P00220342,M,36-45,16,C,3,1,5,,,5354
1001764,P00040042,M,18-25,0,B,1,0,5,,,8674
1001639,P00170642,M,26-35,17,B,1,0,5,8.0,,7191
1001232,P00135742,F,18-25,4,C,2,0,6,8.0,,15933
1005518,P00114942,M,51-55,17,B,3,1,1,15.0,16.0,19100
1000639,P0094842,M,46-50,17,B,2,1,4,8.0,,2837
1004933,P00119442,M,26-35,15,B,3,0,5,,,8780
1004661,P00325542,M,46-50,15,B,4+,1,18,,,2292
1005111,P00320442,M,36-45,2,B,1,1,6,10.0,,20108
1004269,P00270842,M,36-45,18,B,1,1,5,,,5340
1000889,P00229842,M,46-50,20,A,1,0,5,14.0,,1999
1003844,P00359742,M,18-25,4,C,3,1,1,5.0,,8009
1000795,P00265242,F,36-45,14,B,1,0,5,8.0,,5477
1001993,P00220342,M,36-45,17,C,4+,1,5,,,8899
1001680,P00055242,M,26-35,20,A,3,1,11,,,6049
1005946,P0099042,F,55+,1,A,0,0,5,12.0,14.0,5448
1002261,P00265242,M,26-35,5,C,1,0,5,8.0,,6931
1004534,P00074442,M,18-25,4,C,1,0,1,16.0,,11854
1004425,P00025142,M,36-45,7,B,1,0,13,16.0,,584
1003868,P00024642,M,18-25,12,C,0,0,5,14.0,,5242
1001767,P00114442,M,26-35,20,C,1,0,5,6.0,,8845
1000697,P00129642,F,51-55,6,A,3,1,5,,,8577
1003750,P00260042,F,18-25,4,C,2,1,5,8.0,,8660
1004112,P00199442,M,46-50,18,B,3,1,5,9.0,,8608
1004411,P00218942,M,18-25,4,A,3,0,5,,,1827
1001609,P00102542,F,36-45,9,B,3,0,8,,,9845
1004059,P00336942,M,26-35,14,C,1,1,5,,,3709
1004088,P00335442,M,26-35,3,B,4+,1,1,15.0,,8282
1002466,P00246342,M,26-35,15,B,4+,0,11,15.0,,6115
1001494,P00368142,M,26-35,17,C,3,1,2,15.0,,12816
1004258,P00003942,M,26-35,17,B,2,0,5,14.0,,6858
1000695,P00193542,F,18-25,1,A,2,0,1,2.0,,15850
1003386,P00230842,M,18-25,4,B,3,0,8,,,9961
1001671,P00110042,M,36-45,0,B,2,0,5,14.0,,8730
1005841,P00111142,F,36-45,7,A,4+,1,1,15.0,16.0,15548
1004819,P00253142,M,36-45,18,B,1,0,1,2.0,5.0,19154
1005225,P00036842,M,18-25,4,C,4+,1,1,14.0,16.0,11894
1004796,P00170642,M,36-45,7,A,4+,1,5,8.0,,6931
1002381,P00250342,F,36-45,9,B,2,0,16,,,12507
1002148,P00242742,F,18-25,0,B,0,1,1,2.0,9.0,15894
1004261,P00136842,F,36-45,6,C,3,0,1,8.0,16.0,15271
1003932,P00118742,M,26-35,7,C,0,1,5,11.0,,6876
1000164,P00192042,F,55+,13,C,1,0,5,9.0,14.0,8723
1001271,P00178942,F,46-50,6,C,3,1,5,8.0,,8624
1002000,P00216742,M,18-25,4,C,1,0,5,,,7032
1000919,P00141542,F,36-45,1,C,1,0,5,,,8786
1002595,P00338642,M,18-25,4,B,1,0,7,,,20317
1004306,P00198042,M,46-50,7,C,1,1,11,16.0,,7576
1004227,P00150442,M,26-35,19,A,0,0,5,,,1754
1003312,P00110842,F,18-25,4,A,3,0,1,2.0,5.0,19672
1002876,P00100442,M,26-35,17,C,1,1,2,4.0,5.0,12761
1004374,P00032042,M,18-25,4,B,1,0,1,2.0,15.0,15384
1001467,P00265542,M,26-35,5,C,2,0,5,8.0,,8729
1003713,P00214442,F,26-35,7,B,1,1,8,,,9703
1003841,P00152742,M,46-50,18,A,4+,0,5,,,5355
1000412,P00108042,M,36-45,15,A,1,1,5,,,7043
1002228,P00118742,M,26-35,12,C,3,1,5,11.0,,8754
1001152,P00063342,M,18-25,4,C,2,0,1,2.0,9.0,11797
1001879,P00268442,M,26-35,4,C,1,1,8,17.0,,6059
1001230,P00221442,M,26-35,11,B,2,0,1,2.0,5.0,11622
1001100,P00108542,M,26-35,0,B,0,1,5,8.0,14.0,7131
1002063,P00032342,M,26-35,4,A,3,0,11,15.0,,4638
1003050,P00122442,M,36-45,12,B,1,0,1,11.0,15.0,11404
1002883,P00251242,M,18-25,20,B,3,0,5,11.0,,5145
1001655,P00144042,M,18-25,4,C,2,1,2,3.0,4.0,9586
1005656,P00080342,M,26-35,15,B,2,0,1,6.0,8.0,15218
1001826,P00112542,M,46-50,11,C,1,1,1,11.0,15.0,11408
1005996,P00347142,F,26-35,0,B,1,1,5,,,6903
1000953,P00114942,M,51-55,20,B,1,1,1,15.0,16.0,19561
1005701,P00304642,M,26-35,7,C,4+,0,2,14.0,15.0,9897
1005145,P00166742,M,36-45,7,C,2,1,5,16.0,,1761
1003706,P00174442,M,26-35,12,C,3,1,5,,,8580
1003789,P00319842,F,26-35,0,A,0,0,3,5.0,,13248
1000963,P00189242,M,26-35,0,A,0,1,5,,,3555
1002092,P00004742,M,55+,1,B,4+,1,6,16.0,,16634
1005366,P00208942,M,18-25,12,C,3,0,6,,,12698
1003387,P00118242,M,18-25,1,B,3,1,5,8.0,,5182
1002230,P00018942,F,46-50,1,B,4+,1,8,,,3927
1000092,P00194342,F,18-25,4,B,1,0,3,4.0,,8080
1003675,P00347142,M,36-45,7,B,3,0,5,,,3708
1001449,P00100742,M,36-45,20,A,1,1,5,17.0,,6938
1005342,P00145742,F,36-45,7,B,2,0,1,2.0,,15585
1002969,P00046742,M,26-35,7,C,4+,1,1,2.0,15.0,15497
1001669,P00216342,F,26-35,17,B,1,1,3,4.0,5.0,10896
1001797,P00111842,M,36-45,7,C,2,0,8,,,10067
1003411,P00266642,M,18-25,4,A,4+,0,1,8.0,9.0,7596
1002100,P00033042,F,26-35,0,C,4+,0,5,14.0,,6933
1002571,P00350142,M,36-45,17,C,4+,0,8,17.0,,7798
1005177,P00005142,M,46-50,14,C,0,1,5,,,5423
1004064,P00307942,M,46-50,0,A,1,1,6,8.0,,15945
1005760,P00032742,M,18-25,12,C,3,0,8,17.0,,9778
1003808,P00017642,M,26-35,7,A,2,1,1,4.0,,4537
1000173,P00184442,M,26-35,0,B,1,1,1,6.0,8.0,11548
1002141,P00313242,F,51-55,16,C,0,1,8,,,9781
1000336,P00323942,M,18-25,0,C,4+,0,8,15.0,,9752
1000352,P00110542,M,18-25,4,A,0,0,8,,,9934
1001579,P00178242,M,26-35,0,A,0,0,8,,,9877
1004155,P0097142,M,51-55,17,C,1,0,12,,,1712
1003288,P00260042,M,26-35,14,A,4+,0,5,8.0,,6928
1001209,P00050442,M,36-45,7,C,1,1,1,8.0,13.0,8028
1004456,P00189842,F,36-45,2,C,4+,0,3,4.0,5.0,10718
1000531,P00173242,F,18-25,14,B,0,0,5,,,5444
1004593,P00189642,F,46-50,1,B,0,1,8,13.0,,5890
1000520,P00153742,F,36-45,20,A,2,0,8,,,9884
1000551,P00188842,M,36-45,20,A,4+,1,8,,,9950
1005565,P00369742,M,18-25,17,C,2,0,5,,,8889
1004347,P00000642,F,18-25,20,C,1,0,1,6.0,16.0,15295
1005469,P00344142,M,36-45,12,C,2,0,18,,,3003
